server,mp_learning_rate,mp_weight_decay,mp_drop_prob,mp_noise_prob,mp_train_batch_size,mp_test_batch_size,mp_test_masking_rate,mp_num_epochs,mp_optimizer,mp_activation,mp_hidden_layers,mp_aug_step,mp_aug_step_floor,mp_decoder_constraint,mp_normalize_data,mp_last_layer_activations,mp_prediction_floor,mp_loss_size_average,dp_test_split_rate,dp_pivot_indexes,_RMSE,_learn_time,1m
dai,0.01,0.005,0,0.1,256,8,0.5,8,rmsprop,lrelu,"[16, 256]",1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.4,"[1, 0]",0.897600565,35.52889538,
dai,0.005,0.1,0.4,0,16,6,0.9,2,adagrad,tanh,[4096],3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.4,"[1, 0]",0.897755038,239.6931109,
dai,0.001,0.0001,0.4,0,256,2,0.9,4,rmsprop,lrelu,"[2048, 4, 4]",2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.3,"[1, 0]",0.897811233,30.89135003,
dai,0.005,0.1,0.6,0.8,1,7,0.2,1,sgd,relu,16,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.3,"[1, 0]",0.897910173,62.51576161,
dai,0.005,0.001,0.1,0.9,1,8,0.9,4,sgd,relu6,"[128, 2, 2048, 64]",1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.3,"[1, 0]",0.897954147,721.8170347,
dai,0.001,0.001,0.4,0,32,4,0.8,2,rmsprop,selu,"[2, 16, 2048]",0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.2,"[1, 0]",0.898138917,23.4838202,
dai,0.0001,0.0001,0.3,0.6,512,6,0.2,1,adagrad,relu,[4],1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.1,"[1, 0]",0.898192721,5.066745281,
dai,0.005,0.0001,0.2,0,64,3,0.6,1,adagrad,relu,"[128, 128, 16]",1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0.4,"[1, 0]",0.898331936,7.466956377,
dai,0.001,0,0.9,0,32,8,0.4,1,adagrad,relu,256,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.1,"[1, 0]",0.898759825,10.7372756,
dai,0.005,0.1,0.9,0.4,256,3,0.7,1,adam,lrelu,512,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.4,"[1, 0]",0.898810106,5.115316391,
dai,0.001,0.01,0.3,0.4,1,9,0.3,8,sgd,selu,"[1024, 16, 1024, 16, 128]",2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.1,"[1, 0]",0.899136669,3283.283155,
dai,0.01,0,0.8,0.7,128,3,0.7,1,sgd,lrelu,[2],1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.3,"[1, 0]",0.899201571,5.920447588,
dai,0.01,0.005,0.6,0.1,512,2,0.2,4,rmsprop,swish,[16],2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.4,"[1, 0]",0.899973512,17.84427834,
dai,0.005,0,0.9,0,4,6,0.6,1,adagrad,lrelu,8,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.3,"[1, 0]",0.900298634,27.78967547,
dai,0.001,0.01,0.6,0.7,64,2,0.8,4,rmsprop,sigmoid,[256],0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[1, 0]",0.90077806,26.82179832,
sheng,0.005,0,0,0,64,1,0.5,10,adam,selu,2,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.900867402,112.3985214,
sheng,0.005,0,0,0,64,1,0.5,10,adam,selu,2,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.900867402,112.3985214,
dai,0.001,0.001,0.6,0.6,32,3,0.2,2,rmsprop,swish,"[4, 4, 8]",1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.2,"[1, 0]",0.900954783,20.61033392,
dai,0.005,0,0.3,0.9,1,3,0.9,8,rmsprop,relu,"[512, 2, 128, 2048]",3,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0.3,"[1, 0]",0.90133004,2712.79487,
dai,0.1,0.1,0.4,0.1,1,10,0.6,1,rmsprop,tanh,"[2, 2]",3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.4,"[1, 0]",0.901365994,179.6304739,
dai,0.001,0.1,0.4,0.5,256,2,0.8,8,rmsprop,relu,"[4, 4096, 256]",1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.1,"[1, 0]",0.901381259,56.64506149,
dai,0.0001,0.001,0,0.1,64,6,0.4,4,sgd,sigmoid,"[2, 2, 2, 32]",0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.1,"[1, 0]",0.901665126,25.81829667,
dai,0.01,0.1,0.2,0.5,64,8,0.9,2,adam,elu,1024,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.4,"[1, 0]",0.901757823,14.85322833,
dai,0.01,0.01,0.1,0.4,128,2,0.6,8,rmsprop,tanh,4,2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.3,"[1, 0]",0.901879624,48.0364666,
dai,0.005,0.0001,0.6,0.5,256,6,0.7,10,adagrad,lrelu,[16],1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.3,"[1, 0]",0.901958479,50.36694551,
dai,0.0001,0.005,0.2,0,256,8,0.4,2,sgd,selu,"[64, 4]",1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.3,"[1, 0]",0.902372314,9.581994295,
dai,0.01,0.0001,0.1,0.1,512,5,0.2,10,adam,relu,4,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.4,"[1, 0]",0.902644521,41.18981314,
dai,0.001,0.0001,0,0.7,256,10,0.9,4,adagrad,relu,"[1024, 256, 128, 8]",0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,0.1,"[1, 0]",0.902742214,25.06244397,
dai,0.0001,0.01,0,0,2,5,0.3,10,adagrad,lrelu,16,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.3,"[1, 0]",0.903020286,698.438623,
dai,0.001,0.001,0.1,0.6,8,7,0.3,1,adam,relu,[2048],3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.2,"[1, 0]",0.903200636,142.6453681,
dai,0.1,0.01,0.4,0.5,256,4,0.2,1,sgd,relu,[2048],0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[1, 0]",0.90363102,5.98293066,
dai,0.01,0.1,0.9,0.4,256,10,0.2,10,adagrad,swish,"[2, 16, 32]",0,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.3,"[1, 0]",0.90395641,54.39947534,
dai,0.0001,0.001,0.2,0.3,64,2,0.4,2,rmsprop,relu,512,2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.4,"[1, 0]",0.904200128,18.48754334,
dai,0.001,0.1,0.5,0.9,1,6,0.2,4,sgd,relu6,"[2048, 512, 64, 64, 32]",1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.3,"[1, 0]",0.905007937,1263.503015,
dai,0.1,0.001,0.3,0,32,8,0.6,4,adagrad,elu,64,2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,0.3,"[1, 0]",0.90502508,40.17449594,
dai,0.01,0.1,0,0.9,64,2,0.2,4,sgd,elu,"[2, 512, 2048, 8]",3,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.2,"[1, 0]",0.90536773,82.66087627,
dai,0.005,0.01,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.905410578,7.493909121,
dai,0.005,0.0001,0,0.7,1024,7,0.9,1,sgd,relu,32,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.2,"[1, 0]",0.905612496,4.939784527,
dai,0.005,0.001,0.4,0.8,128,1,0.4,2,adagrad,elu,[2048],2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.1,"[1, 0]",0.905988623,24.3428793,
dai,0.001,0.01,0.9,0.2,2,1,0.3,1,sgd,lrelu,"[512, 64, 32, 16, 16]",1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.1,"[1, 0]",0.906045202,120.617662,
dai,0.001,0.1,0.3,0.2,512,2,0.8,8,sgd,relu,"[4096, 1024, 512, 16, 8]",0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0.4,"[1, 0]",0.906086075,47.54485941,
dai,0.0001,0.01,0.5,0.7,1024,8,0.5,10,sgd,tanh,"[1024, 128, 32, 16, 8]",3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.3,"[1, 0]",0.906089197,50.19176769,
dai,0.001,0,0.2,0.9,16,9,0.1,8,adam,tanh,"[32, 32, 16, 2]",0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.4,"[1, 0]",0.906089524,94.17803168,
dai,0.0001,0.01,0.8,0,32,8,0.5,4,rmsprop,selu,32,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.4,"[1, 0]",0.906158568,30.15732598,
dai,0.005,0.005,0.1,0.2,128,4,0.1,2,rmsprop,swish,[64],2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.2,"[1, 0]",0.906288548,14.98790598,
dai,0.1,0.005,0.1,0.5,512,9,0.5,8,rmsprop,swish,[1024],1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.2,"[1, 0]",0.906476696,42.12826872,
dai,0.001,0.01,0.4,0.9,1024,3,0.5,8,adam,relu6,"[32, 512]",3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.3,"[1, 0]",0.906653296,39.49335408,
dai,0.0001,0.005,0,0.1,1,6,0.1,1,sgd,relu,2048,2,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0.3,"[1, 0]",0.907063527,239.5661089,
dai,0.005,0.005,0.7,0.1,32,6,0.8,10,adagrad,tanh,256,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.3,"[1, 0]",0.907527344,121.2187309,
sheng,0.0001,0,0,0,64,1,0.5,10,adam,selu,[128],1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,"[0, 1]",0.907859739,139.827328,
